T_B,seed,current_only_ap,historical_oracle_ap,tgn_ap,retrieval_ap,historical_gain,memory_harm
25,42,1.0,1.0,0.6566957770129469,0.9389708832854899,-0.06102911671451006,0.3433042229870531
25,43,1.0,1.0,0.6450615558105213,0.9440007009768085,-0.05599929902319145,0.35493844418947873
25,44,1.0000000000000002,1.0,0.6555118682741354,0.9407332162303204,-0.059266783769679865,0.3444881317258648
25,45,1.0000000000000002,1.0,0.6368935939791854,0.9397386659025835,-0.06026133409741674,0.3631064060208148
25,46,1.0,1.0,0.6584046996732188,0.9389933754694835,-0.06100662453051653,0.3415953003267812
25,47,1.0000000000000002,1.0,0.6455305027322411,0.9417820267531885,-0.05821797324681177,0.3544694972677591
25,48,1.0,1.0,0.6551200136538069,0.942540868054961,-0.057459131945039044,0.3448799863461931
25,49,1.0,1.0,0.6677582119407928,0.942610879283637,-0.05738912071636304,0.33224178805920723
25,50,1.0,1.0,0.6438613234125927,0.937917685213352,-0.06208231478664805,0.3561386765874073
25,51,1.0,1.0,0.6589168691834373,0.9413388450578478,-0.05866115494215218,0.3410831308165627
100,42,1.0,1.0,0.6581067004442592,0.9405249985314753,-0.05947500146852469,0.34189329955574077
100,43,1.0,1.0,0.6415679567149807,0.9471979179970302,-0.052802082002969764,0.3584320432850193
100,44,0.9999999999999999,1.0,0.6579255130074426,0.9401279897451886,-0.05987201025481126,0.34207448699255727
100,45,1.0,1.0,0.6387959963494694,0.9405928558980597,-0.05940714410194026,0.3612040036505306
100,46,1.0,1.0,0.6531759385523892,0.9417180450684988,-0.058281954931501234,0.3468240614476108
100,47,0.9999999999999999,1.0,0.653451972125922,0.9418261477637935,-0.058173852236206414,0.3465480278740779
100,48,0.9999999999999999,1.0,0.6554088487780876,0.9428402959030132,-0.057159704096986674,0.3445911512219123
100,49,1.0,1.0,0.6642876539864012,0.9404652072534395,-0.05953479274656048,0.3357123460135988
100,50,1.0,1.0,0.6465541312867715,0.9393914739447586,-0.06060852605524136,0.3534458687132285
100,51,1.0,1.0,0.6554927257064683,0.9397164966233372,-0.06028350337666277,0.3445072742935317
200,42,0.9999999999999999,1.0,0.6611077840398399,0.9420750073348733,-0.05792499266512663,0.33889221596015995
200,43,1.0,1.0,0.6461200263857653,0.9449546499815924,-0.0550453500184076,0.35387997361423473
200,44,1.0,1.0,0.6559436528571243,0.9412409974941316,-0.05875900250586841,0.3440563471428757
200,45,1.0,1.0,0.6467747588390721,0.9395617769422426,-0.06043822305775737,0.3532252411609279
200,46,1.0,1.0,0.6555162918218755,0.9414601891412886,-0.058539810858711405,0.34448370817812446
200,47,1.0,1.0,0.6489904621636986,0.9445559418549909,-0.05544405814500908,0.3510095378363014
200,48,1.0,1.0,0.6528975240023441,0.9434334866975823,-0.05656651330241769,0.34710247599765587
200,49,1.0,1.0,0.6563781946777938,0.9415664578217315,-0.05843354217826846,0.3436218053222062
200,50,1.0,1.0,0.6465794677558017,0.9363884815849908,-0.06361151841500923,0.35342053224419834
200,51,1.0,1.0,0.6626271505301592,0.9423713751038927,-0.05762862489610732,0.3373728494698408
