episode_id,mechanism,ap
Ep_1,Current_Only,0.7124999999999999
Ep_1,Continuous_TGN,0.6624999999999999
Ep_1,TGN_NoMemory,0.7124999999999999
Ep_1,FIFO_Queue,0.7174999999999999
Ep_1,Similarity_Retrieval,0.7124999999999999
Ep_1,Random_Retrieval,0.7124999999999999
Ep_2,Current_Only,0.6111111111111112
Ep_2,Continuous_TGN,0.5611111111111111
Ep_2,TGN_NoMemory,0.6111111111111112
Ep_2,FIFO_Queue,0.6161111111111112
Ep_2,Similarity_Retrieval,0.6111111111111112
Ep_2,Random_Retrieval,0.7345679012345677
Ep_3,Current_Only,0.7647058823529411
Ep_3,Continuous_TGN,0.7147058823529411
Ep_3,TGN_NoMemory,0.7647058823529411
Ep_3,FIFO_Queue,0.7697058823529411
Ep_3,Similarity_Retrieval,0.7647058823529411
Ep_3,Random_Retrieval,0.8445378151260504
Ep_4,Current_Only,0.7124999999999999
Ep_4,Continuous_TGN,0.6624999999999999
Ep_4,TGN_NoMemory,0.7124999999999999
Ep_4,FIFO_Queue,0.7174999999999999
Ep_4,Similarity_Retrieval,0.7124999999999999
Ep_4,Random_Retrieval,0.7124999999999999
