persistence,seed,current_only_ap,historical_oracle_ap,tgn_ap,retrieval_ap
0.85,42,1.0,0.9997197658350419,0.5694057352266532,0.9390034287900604
0.85,43,1.0,0.9998315351170286,0.565004140108506,0.9377346596045387
0.85,44,0.9999999999999999,0.9998834523657031,0.6006705617588737,0.9424032543291538
0.85,45,1.0,0.9998166115198994,0.5840477216668245,0.947129451775487
0.85,46,0.9999999999999999,0.999781121208386,0.5928899718518725,0.9391129695060155
0.35,42,1.0,1.0,0.6575453460809244,0.9405249985314753
0.35,43,1.0,1.0,0.6415679567149807,0.9471979179970302
0.35,44,0.9999999999999999,1.0,0.6579255130074426,0.9401279897451886
0.35,45,1.0,1.0,0.6387959963494694,0.9405928558980597
0.35,46,1.0,1.0,0.6531759385523892,0.9417180450684988
0.05,42,0.9999999999999999,1.0,0.6540488537921688,0.9444746527364624
0.05,43,1.0000000000000002,1.0,0.6536537179259141,0.9424806383903706
0.05,44,0.9999999999999999,1.0,0.6583262495192739,0.9389008086127175
0.05,45,1.0,1.0,0.6608326243127969,0.9412436897218105
0.05,46,0.9999999999999999,1.0,0.6622081406352107,0.9418065923346381
