timestep,src,dst,regime,episode_index,time_since_transition
0,0,26,A,0,0
0,0,28,A,0,0
0,0,29,A,0,0
0,0,51,A,0,0
0,0,52,A,0,0
0,0,69,A,0,0
0,0,84,A,0,0
0,0,85,A,0,0
0,0,86,A,0,0
0,0,109,A,0,0
0,0,125,A,0,0
0,0,131,A,0,0
0,0,136,A,0,0
0,0,150,A,0,0
0,0,161,A,0,0
0,0,164,A,0,0
0,0,175,A,0,0
0,0,176,A,0,0
0,0,199,A,0,0
0,0,205,A,0,0
0,0,217,A,0,0
0,0,218,A,0,0
0,0,227,A,0,0
0,0,230,A,0,0
0,0,239,A,0,0
0,0,261,A,0,0
0,0,270,A,0,0
0,0,271,A,0,0
0,0,273,A,0,0
0,0,281,A,0,0
0,0,287,A,0,0
0,0,290,A,0,0
0,0,294,A,0,0
0,1,4,A,0,0
0,1,39,A,0,0
0,1,52,A,0,0
0,1,64,A,0,0
0,1,78,A,0,0
0,1,91,A,0,0
0,1,94,A,0,0
0,1,97,A,0,0
0,1,106,A,0,0
0,1,111,A,0,0
0,1,115,A,0,0
0,1,117,A,0,0
0,1,119,A,0,0
0,1,121,A,0,0
0,1,124,A,0,0
0,1,125,A,0,0
0,1,126,A,0,0
0,1,137,A,0,0
0,1,144,A,0,0
0,1,146,A,0,0
0,1,151,A,0,0
0,1,153,A,0,0
0,1,156,A,0,0
0,1,158,A,0,0
0,1,187,A,0,0
0,1,212,A,0,0
0,1,213,A,0,0
0,1,221,A,0,0
0,1,237,A,0,0
0,1,247,A,0,0
0,1,250,A,0,0
0,1,257,A,0,0
0,1,270,A,0,0
0,1,292,A,0,0
0,1,297,A,0,0
0,2,24,A,0,0
0,2,25,A,0,0
0,2,33,A,0,0
0,2,38,A,0,0
0,2,40,A,0,0
0,2,41,A,0,0
0,2,48,A,0,0
0,2,52,A,0,0
0,2,55,A,0,0
0,2,68,A,0,0
0,2,76,A,0,0
0,2,88,A,0,0
0,2,108,A,0,0
0,2,128,A,0,0
0,2,130,A,0,0
0,2,131,A,0,0
0,2,140,A,0,0
0,2,146,A,0,0
0,2,147,A,0,0
0,2,149,A,0,0
0,2,164,A,0,0
0,2,168,A,0,0
0,2,169,A,0,0
0,2,171,A,0,0
0,2,173,A,0,0
0,2,174,A,0,0
0,2,180,A,0,0
0,2,183,A,0,0
0,2,200,A,0,0
0,2,202,A,0,0
0,2,216,A,0,0
0,2,217,A,0,0
0,2,226,A,0,0
0,2,231,A,0,0
0,2,246,A,0,0
0,2,277,A,0,0
0,3,12,A,0,0
0,3,34,A,0,0
0,3,36,A,0,0
0,3,47,A,0,0
0,3,63,A,0,0
0,3,72,A,0,0
0,3,81,A,0,0
